2024-03-01 03:15:59 status unpacked xorg-sgml-doctools:all 1:1.11-1
2024-03-01 03:15:59 install x11proto-dev:all <none> 2019.2-1ubuntu1
2024-03-01 03:15:59 status half-installed x11proto-dev:all 2019.2-1ubuntu1
2024-03-01 03:15:59 status unpacked x11proto-dev:all 2019.2-1ubuntu1
2024-03-01 03:15:59 install x11proto-core-dev:all <none> 2019.2-1ubuntu1
2024-03-01 03:15:59 status half-installed x11proto-core-dev:all 2019.2-1ubuntu1
2024-03-01 03:15:59 status unpacked x11proto-core-dev:all 2019.2-1ubuntu1
2024-03-01 03:16:00 install libice-dev:amd64 <none> 2:1.0.10-0ubuntu1
2024-03-01 03:16:00 status half-installed libice-dev:amd64 2:1.0.10-0ubuntu1
2024-03-01 03:16:00 status unpacked libice-dev:amd64 2:1.0.10-0ubuntu1
2024-03-01 03:16:00 install libpthread-stubs0-dev:amd64 <none> 0.4-1
2024-03-01 03:16:00 status half-installed libpthread-stubs0-dev:amd64 0.4-1
2024-03-01 03:16:00 status unpacked libpthread-stubs0-dev:amd64 0.4-1
2024-03-01 03:16:00 install libsm-dev:amd64 <none> 2:1.2.3-1
2024-03-01 03:16:00 status half-installed libsm-dev:amd64 2:1.2.3-1
2024-03-01 03:16:00 status unpacked libsm-dev:amd64 2:1.2.3-1
2024-03-01 03:16:00 install libxau-dev:amd64 <none> 1:1.0.9-0ubuntu1
2024-03-01 03:16:00 status half-installed libxau-dev:amd64 1:1.0.9-0ubuntu1
2024-03-01 03:16:00 status unpacked libxau-dev:amd64 1:1.0.9-0ubuntu1
2024-03-01 03:16:00 install libxdmcp-dev:amd64 <none> 1:1.1.3-0ubuntu1
2024-03-01 03:16:00 status half-installed libxdmcp-dev:amd64 1:1.1.3-0ubuntu1
2024-03-01 03:16:00 status unpacked libxdmcp-dev:amd64 1:1.1.3-0ubuntu1
2024-03-01 03:16:00 install xtrans-dev:all <none> 1.4.0-1
2024-03-01 03:16:00 status half-installed xtrans-dev:all 1.4.0-1
2024-03-01 03:16:00 status unpacked xtrans-dev:all 1.4.0-1
2024-03-01 03:16:00 install libxcb1-dev:amd64 <none> 1.14-2
2024-03-01 03:16:00 status half-installed libxcb1-dev:amd64 1.14-2
2024-03-01 03:16:00 status unpacked libxcb1-dev:amd64 1.14-2
2024-03-01 03:16:00 install libx11-dev:amd64 <none> 2:1.6.9-2ubuntu1.6
2024-03-01 03:16:00 status half-installed libx11-dev:amd64 2:1.6.9-2ubuntu1.6
2024-03-01 03:16:00 status unpacked libx11-dev:amd64 2:1.6.9-2ubuntu1.6
2024-03-01 03:16:00 install libxt-dev:amd64 <none> 1:1.1.5-1
2024-03-01 03:16:00 status half-installed libxt-dev:amd64 1:1.1.5-1
2024-03-01 03:16:01 status unpacked libxt-dev:amd64 1:1.1.5-1
2024-03-01 03:16:01 startup packages configure
2024-03-01 03:16:01 configure java-common:all 0.72 <none>
2024-03-01 03:16:01 status unpacked java-common:all 0.72
2024-03-01 03:16:01 status half-configured java-common:all 0.72
2024-03-01 03:16:01 status installed java-common:all 0.72
2024-03-01 03:16:01 configure libpthread-stubs0-dev:amd64 0.4-1 <none>
2024-03-01 03:16:01 status unpacked libpthread-stubs0-dev:amd64 0.4-1
2024-03-01 03:16:01 status half-configured libpthread-stubs0-dev:amd64 0.4-1
2024-03-01 03:16:01 status installed libpthread-stubs0-dev:amd64 0.4-1
2024-03-01 03:16:01 configure xtrans-dev:all 1.4.0-1 <none>
2024-03-01 03:16:01 status unpacked xtrans-dev:all 1.4.0-1
2024-03-01 03:16:01 status half-configured xtrans-dev:all 1.4.0-1
2024-03-01 03:16:01 status installed xtrans-dev:all 1.4.0-1
2024-03-01 03:16:01 configure fonts-dejavu-extra:all 2.37-1 <none>
2024-03-01 03:16:01 status unpacked fonts-dejavu-extra:all 2.37-1
2024-03-01 03:16:01 status half-configured fonts-dejavu-extra:all 2.37-1
2024-03-01 03:16:01 status installed fonts-dejavu-extra:all 2.37-1
2024-03-01 03:16:01 configure xorg-sgml-doctools:all 1:1.11-1 <none>
2024-03-01 03:16:01 status unpacked xorg-sgml-doctools:all 1:1.11-1
2024-03-01 03:16:01 status half-configured xorg-sgml-doctools:all 1:1.11-1
2024-03-01 03:16:01 status triggers-awaited xorg-sgml-doctools:all 1:1.11-1
2024-03-01 03:16:01 configure libatk-wrapper-java:all 0.37.1-1 <none>
2024-03-01 03:16:01 status unpacked libatk-wrapper-java:all 0.37.1-1
2024-03-01 03:16:01 status half-configured libatk-wrapper-java:all 0.37.1-1
2024-03-01 03:16:01 status installed libatk-wrapper-java:all 0.37.1-1
2024-03-01 03:16:01 configure libatk-wrapper-java-jni:amd64 0.37.1-1 <none>
2024-03-01 03:16:01 status unpacked libatk-wrapper-java-jni:amd64 0.37.1-1
2024-03-01 03:16:01 status half-configured libatk-wrapper-java-jni:amd64 0.37.1-1
2024-03-01 03:16:01 status installed libatk-wrapper-java-jni:amd64 0.37.1-1
2024-03-01 03:16:01 configure ca-certificates-java:all 20190405ubuntu1.1 <none>
2024-03-01 03:16:01 status unpacked ca-certificates-java:all 20190405ubuntu1.1
2024-03-01 03:16:01 status half-configured ca-certificates-java:all 20190405ubuntu1.1
2024-03-01 03:16:03 status triggers-awaited ca-certificates-java:all 20190405ubuntu1.1
2024-03-01 03:16:03 configure default-jre-headless:amd64 2:1.11-72 <none>
2024-03-01 03:16:03 status unpacked default-jre-headless:amd64 2:1.11-72
2024-03-01 03:16:03 status half-configured default-jre-headless:amd64 2:1.11-72
2024-03-01 03:16:03 status installed default-jre-headless:amd64 2:1.11-72
2024-03-01 03:16:03 trigproc hicolor-icon-theme:all 0.17-2 <none>
2024-03-01 03:16:03 status half-configured hicolor-icon-theme:all 0.17-2
2024-03-01 03:16:03 status installed hicolor-icon-theme:all 0.17-2
2024-03-01 03:16:03 trigproc gnome-menus:amd64 3.36.0-1ubuntu1 <none>
2024-03-01 03:16:03 status half-configured gnome-menus:amd64 3.36.0-1ubuntu1
2024-03-01 03:16:03 status installed gnome-menus:amd64 3.36.0-1ubuntu1
2024-03-01 03:16:03 trigproc man-db:amd64 2.9.1-1 <none>
2024-03-01 03:16:03 status half-configured man-db:amd64 2.9.1-1
2024-03-01 03:16:07 status installed man-db:amd64 2.9.1-1
2024-03-01 03:16:07 trigproc ca-certificates:all 20230311ubuntu0.20.04.1 <none>
2024-03-01 03:16:07 status half-configured ca-certificates:all 20230311ubuntu0.20.04.1
2024-03-01 03:16:07 status installed ca-certificates-java:all 20190405ubuntu1.1
2024-03-01 03:16:08 status installed ca-certificates:all 20230311ubuntu0.20.04.1
2024-03-01 03:16:08 trigproc sgml-base:all 1.29.1 <none>
2024-03-01 03:16:08 status half-configured sgml-base:all 1.29.1
2024-03-01 03:16:08 status installed xorg-sgml-doctools:all 1:1.11-1
2024-03-01 03:16:08 status installed sgml-base:all 1.29.1
2024-03-01 03:16:08 configure x11proto-dev:all 2019.2-1ubuntu1 <none>
2024-03-01 03:16:08 status unpacked x11proto-dev:all 2019.2-1ubuntu1
2024-03-01 03:16:08 status half-configured x11proto-dev:all 2019.2-1ubuntu1
2024-03-01 03:16:08 status installed x11proto-dev:all 2019.2-1ubuntu1
2024-03-01 03:16:08 trigproc fontconfig:amd64 2.13.1-2ubuntu3 <none>
2024-03-01 03:16:08 status half-configured fontconfig:amd64 2.13.1-2ubuntu3
2024-03-01 03:16:08 status installed fontconfig:amd64 2.13.1-2ubuntu3
2024-03-01 03:16:08 trigproc desktop-file-utils:amd64 0.24-1ubuntu3 <none>
2024-03-01 03:16:08 status half-configured desktop-file-utils:amd64 0.24-1ubuntu3
2024-03-01 03:16:08 status installed desktop-file-utils:amd64 0.24-1ubuntu3
2024-03-01 03:16:08 trigproc mime-support:all 3.64ubuntu1 <none>
2024-03-01 03:16:08 status half-configured mime-support:all 3.64ubuntu1
2024-03-01 03:16:08 status installed mime-support:all 3.64ubuntu1
2024-03-01 03:16:08 configure libxau-dev:amd64 1:1.0.9-0ubuntu1 <none>
2024-03-01 03:16:08 status unpacked libxau-dev:amd64 1:1.0.9-0ubuntu1
2024-03-01 03:16:08 status half-configured libxau-dev:amd64 1:1.0.9-0ubuntu1
2024-03-01 03:16:08 status installed libxau-dev:amd64 1:1.0.9-0ubuntu1
2024-03-01 03:16:08 configure libice-dev:amd64 2:1.0.10-0ubuntu1 <none>
2024-03-01 03:16:08 status unpacked libice-dev:amd64 2:1.0.10-0ubuntu1
2024-03-01 03:16:08 status half-configured libice-dev:amd64 2:1.0.10-0ubuntu1
2024-03-01 03:16:08 status installed libice-dev:amd64 2:1.0.10-0ubuntu1
2024-03-01 03:16:08 configure libsm-dev:amd64 2:1.2.3-1 <none>
